customer,address_id,used
3862830,3185849,0
3862830,3185848,999999999
3862830,3224914,3224914
3884743,3207986,0
3884743,3207985,999999999
3884743,4433475,0
3937402,3256108,999999999
3937402,3256109,0
3940817,3260450,999999999
3940817,3260451,3260451
3975694,3290200,3290200
3975694,3290199,999999999
3984318,3297812,0
3984318,3297811,999999999
4020832,4396120,0
4020832,3329972,999999999
4020832,3329973,3329973
4037648,3339200,3339200
4037648,3979487,0
4037648,4452440,0
4037648,3339201,3339201
4037648,3979290,0
4037648,3823024,0
4037648,3823023,999999999
4037648,4156221,0
4037648,3980791,0
4056290,3352884,999999999
4056290,3352885,3352885
4070081,3363529,0
4070081,3363528,999999999
4076633,3572196,999999999
4076633,3368916,3368916
4076633,3368917,3368917
4085920,3374404,3374404
4085920,3374403,999999999
4086218,3374292,999999999
4086218,3374293,3374293
4086318,3374488,3374488
4086318,4447428,0
4086318,3374487,999999999
4086319,3374489,999999999
4086319,3374490,3374490
4085923,3374429,3374429
4085923,3374428,999999999
4092773,3379269,3379269
4092773,3379267,999999999
4092773,3379268,3379268
4097817,3415571,999999999
4097817,3415572,3415572
4114413,3397257,999999999
4114413,3397258,3397258
4114414,3397260,3397260
4114414,3397259,999999999
4114712,3397361,0
4114712,3397360,999999999
4121773,3507456,0
4121773,3818068,0
4121773,3818067,999999999
4121773,3818065,3818065
4121773,4188937,4188937
4121773,3507457,3507457
4121773,4363918,0
4121773,3507458,3507458
4121773,4406650,0
4126617,3411350,999999999
4126617,3411351,3411351
4129682,3413820,999999999
4129682,3413821,3413821
4134071,3416497,999999999
4134071,3416498,3416498
4143916,3433494,999999999
4143916,3433495,3433495
4147667,3427280,3427280
4147667,3427279,999999999
4152955,3432365,3432365
4152955,3432364,999999999
4163600,3441773,3441773
4163600,3441772,999999999
4169560,3446154,3446154
4169560,3706156,0
4169560,4577212,0
4169560,3706157,0
4169560,3979285,999999999
4169560,3446153,3446153
4169560,3910537,0
4170266,3446848,0
4170266,3446847,999999999
4174831,3477882,3477882
4174831,3477881,999999999
4177741,3539220,0
4177741,3539218,999999999
4177741,3539219,0
4182486,3456217,0
4182486,3456218,3456218
4182486,3572195,999999999
4182888,3477984,3477984
4182888,3477983,999999999
4182888,3477985,3477985
4191659,3464219,999999999
4191659,3464221,3464221
4191659,3464220,3464220
4208935,3477776,3477776
4208935,3477775,999999999
4209236,3591231,999999999
4209236,3477880,3477880
4209236,3477879,3477879
4215517,3485168,999999999
4215517,3485169,3485169
4220272,3489163,999999999
4220272,3489164,3489164
4221392,3489778,3489778
4221392,3572295,999999999
4221392,3489779,3489779
4231361,3499756,0
4231361,3499755,999999999
4231361,3499757,3499757
4232362,3597282,999999999
4232362,3500589,3500589
4232362,4562622,0
4232362,3500588,0
4232662,3500912,999999999
4232662,3500913,0
4233172,3501777,999999999
4233172,3501778,3501778
4234284,4588645,0
4234284,4601799,0
4234284,3502696,999999999
4234284,4030420,0
4234284,3978997,0
4234284,3979584,0
4234284,3980990,0
4234284,4447329,0
4234284,3502697,3502697
4234284,4562719,0
4234284,3925909,0
4234284,4601997,0
4236918,3503812,999999999
4236918,3503813,0
4237741,3504314,0
4237741,3504315,3504315
4237741,3619687,999999999
4240645,3979284,0
4240645,3979488,0
4240645,3980792,0
4240645,3505932,3505932
4240645,3770541,0
4240645,3770540,999999999
4240645,4506022,0
4240645,3505931,0
4242479,3507349,999999999
4242479,3507350,3507350
4242777,3507444,999999999
4242777,3507445,3507445
4242778,3507447,3507447
4242778,3507446,999999999
4242779,4429952,0
4242779,4544210,0
4242779,4557886,0
4242779,3536193,0
4242779,3776840,999999999
4242779,3536191,0
4242779,4429850,0
4242779,4442204,0
4242779,4396114,0
4242779,3536192,0
4242780,3507454,999999999
4242780,3507455,3507455
4242977,3507644,0
4242977,3619988,999999999
4242977,3507645,3507645
4243177,3507745,3507745
4243177,3507744,999999999
4243178,3572296,999999999
4243178,3507747,3507747
4243178,3507746,0
4250243,3512137,3512137
4250243,3512136,999999999
4250244,3512138,999999999
4250244,3512139,3512139
4250954,3512544,0
4250954,3512545,0
4250954,3512543,999999999
4251161,4056258,0
4251161,4322618,0
4251161,4325626,0
4251161,3597694,3597694
4251161,3597693,3597693
4251161,3979388,0
4251161,3979006,0
4251161,3980993,0
4251161,3512549,3512549
4251161,3512548,0
4251161,4583331,999999999
4251161,4156498,0
4275702,3537903,3537903
4275702,3537902,999999999
4282429,3545413,3545413
4282429,3545412,999999999
4283246,3545942,3545942
4283246,3545941,999999999
4283763,3546319,3546319
4283763,3546318,999999999
4284275,3580490,999999999
4284275,3546939,3546939
4284275,3546938,0
4294226,3556786,3556786
4294226,3556785,999999999
4297062,3559118,999999999
4297062,3559120,3559120
